latitude,longitude,depth,mag,year
34.1522,26.2265,10.0,3.8,2020
-17.3134,35.6085,10.0,4.4,2020
41.3783,19.6894,10.0,4.4,2020
18.0093,-66.7746,16.0,2.53,2020
51.064,-179.8317,15.66,3.1,2020
17.7685,-66.9045,5.0,2.65,2020
51.0773,-179.7562,14.95,2.5,2020
50.9907,-179.8676,14.67,2.7,2020
50.901,-179.8615,10.0,3.9,2020
51.0161,-179.8962,22.38,2.6,2020
50.9184,-179.839,10.0,4.4,2020
50.9089,-179.8769,10.0,3.8,2020
17.9541,-66.8051,15.0,2.71,2020
51.7961,-177.7815,10.0,2.6,2020
50.9034,-179.8501,10.0,4.4,2020
50.9487,-179.8705,10.0,4.3,2020
50.7978,-179.8687,10.0,2.9,2020
50.9254,-179.9029,10.0,4.8,2020
51.0187,-179.8423,10.0,3.0,2020
51.0865,-179.9464,35.0,5.7,2020
59.2885,-152.4288,62.1,3.5,2020
50.8407,-179.8623,10.0,4.0,2020
-25.3362,-69.7035,65.75,4.7,2020
50.909,-179.8754,10.0,2.8,2020
18.0035,-66.799,16.0,3.4,2020
42.9381,44.3096,10.0,4.2,2020
18.0083,-66.7968,16.0,2.97,2020
37.4464,-115.5126,14.3,2.7,2020
51.8516,-177.9014,10.0,2.8,2020
17.9001,-66.646,3.0,2.98,2020
33.8692,-38.1971,10.0,4.5,2020
17.9415,-66.8305,15.0,2.83,2020
19.2702,145.669,151.26,4.3,2020
17.9141,-66.8426,13.0,3.39,2020
-21.995,-65.8973,267.3,5.3,2020
-9.2992,-108.4,10.0,4.7,2020
-8.7729,-108.2178,10.0,4.5,2020
17.9681,-66.8061,15.0,2.6,2020
17.9158,-66.8918,9.0,2.94,2020
-5.7477,148.7486,200.18,4.2,2020
17.951,-66.8308,14.0,3.03,2020
-28.6372,-67.1752,131.87,4.6,2020
-32.1914,57.0486,10.0,5.1,2020
-17.0549,-178.4037,587.98,4.3,2020
17.9875,-66.9101,11.0,3.4,2020
-23.511,-179.7022,537.32,4.4,2020
17.9666,-66.8393,9.0,3.93,2020
67.7395,-163.3591,31.13,2.5,2020
17.9288,-66.7943,11.0,2.51,2020
-28.9768,-176.2211,10.0,4.3,2020
50.9083,-179.8324,10.0,4.2,2020
34.3011,26.4877,10.0,4.0,2020
-39.0571,45.9539,10.0,4.6,2020
10.6412,-86.0222,25.21,4.4,2020
10.5928,-86.0141,24.8,4.4,2020
51.0322,-179.8418,22.96,2.8,2020
17.9443,-66.8311,12.0,3.57,2020
17.8203,-66.9355,3.0,3.24,2020
17.8828,-66.8651,14.0,2.79,2020
35.3822,-105.9428,5.74,2.9,2020
-9.7418,161.4519,45.02,4.4,2020
50.9508,-179.77,18.93,2.7,2020
17.8863,-66.7568,5.0,2.99,2020
-6.6988,127.5175,395.13,4.1,2020
51.0116,-179.7442,16.54,2.6,2020
51.3516,-179.9812,34.86,3.8,2020
17.8896,-66.8498,15.0,2.92,2020
51.0446,-179.8669,9.37,2.7,2020
50.9112,-179.8225,10.0,3.9,2020
51.0767,-179.8902,13.82,2.6,2020
17.8433,-66.8121,6.0,2.64,2020
51.0141,-179.8236,22.42,2.7,2020
51.0152,-179.8621,10.47,2.9,2020
48.5133,154.759,58.77,4.8,2020
18.0063,-66.8373,13.0,2.73,2020
51.0227,-179.7941,13.53,2.8,2020
17.9168,-66.9491,11.0,3.23,2020
8.8736,126.5303,30.78,4.5,2020
10.671,-65.4201,10.0,4.0,2020
17.9331,-66.833,14.0,2.96,2020
51.0322,-179.808,15.51,2.9,2020
