latitude,longitude,depth,mag,year
40.9357,143.5403,20.19,4.7,2015
12.7995,124.701,55.94,4.7,2015
-33.59,-70.33,113.0,4.5,2015
-45.5509,167.1196,88.87,4.7,2015
36.44,22.79,73.0,4.8,2015
18.2644,-71.3634,10.0,4.7,2015
-5.1442,151.1205,141.57,4.7,2015
-34.218,-112.4832,10.0,4.8,2015
30.5992,131.432,41.14,5.0,2015
-5.3973,146.0865,58.18,5.0,2015
17.716,148.0168,34.25,4.7,2015
-24.9692,-12.6998,10.0,4.8,2015
31.4441,131.0491,55.8,4.5,2015
-4.3846,102.1025,49.3,4.6,2015
-5.587,133.9223,20.91,5.6,2015
4.3153,124.3363,352.26,4.6,2015
-14.3879,167.3961,194.73,4.6,2015
64.59,-17.8055,8.91,4.5,2015
17.6911,147.8711,56.0,4.5,2015
35.8296,142.0408,36.29,4.8,2015
-21.7571,170.5475,108.94,4.7,2015
-56.4133,-150.5956,10.0,4.7,2015
15.4767,-93.3808,75.0,5.5,2015
-16.7859,-14.423,10.0,4.9,2015
-40.5309,176.3026,40.71,4.8,2015
26.0954,126.6099,80.58,4.5,2015
-3.653,141.4422,33.18,4.5,2015
12.8112,-88.1151,81.04,4.6,2015
-6.3634,147.2192,51.43,4.6,2015
-16.8504,-14.3672,10.0,5.0,2015
16.339,-97.9273,7.35,4.5,2015
25.0255,126.5772,39.59,4.7,2015
16.223,-98.053,5.6,4.9,2015
46.2468,149.3083,149.6,4.6,2015
64.4533,-17.8284,8.19,4.5,2015
-20.0409,66.3304,10.0,5.0,2015
64.4568,-17.5386,6.95,4.7,2015
2.0515,126.0761,61.28,4.6,2015
-56.6353,-150.35,10.0,4.6,2015
-16.03,-74.14,41.0,4.9,2015
-20.0626,66.5952,10.0,4.6,2015
36.2717,70.8293,106.01,4.5,2015
77.326,7.9156,10.0,5.4,2015
-17.158,-14.0868,10.0,4.7,2015
-16.8266,-14.4793,10.0,4.9,2015
8.2571,-83.0206,23.22,4.5,2015
11.4935,126.0101,35.0,4.8,2015
17.7516,148.0462,35.45,4.5,2015
52.7765,-34.8304,10.0,4.7,2015
-3.5835,154.3044,56.83,5.1,2015
64.7278,-17.3729,6.99,4.5,2015
-30.5026,-178.9244,224.58,4.5,2015
14.7709,120.2456,59.0,5.9,2015
17.6427,148.0731,10.0,4.7,2015
17.6717,147.9921,10.0,4.9,2015
64.5642,-17.4362,8.14,4.7,2015
-30.0039,-178.1098,73.37,4.6,2015
-21.6328,-68.5339,108.78,5.5,2015
2.2129,126.0676,19.45,4.5,2015
-4.6412,139.172,53.88,4.5,2015
30.4723,142.1449,18.51,4.8,2015
28.7198,51.8164,8.72,5.0,2015
-24.265,-66.964,203.0,4.6,2015
-34.316,-72.888,29.4,4.5,2015
10.9378,93.5415,123.96,4.6,2015
23.2696,142.3623,68.58,4.6,2015
8.949,-84.008,17.5,4.9,2015
40.1126,77.2615,47.77,5.1,2015
-10.2303,161.1513,28.91,4.5,2015
-15.8709,-172.9855,36.53,5.1,2015
-5.655,68.3613,10.0,5.6,2015
17.7395,147.9567,36.05,4.5,2015
17.7179,147.937,35.48,4.8,2015
-26.39,27.5418,5.0,4.6,2015
38.2929,141.6041,57.38,4.6,2015
2.5913,96.0946,49.94,5.1,2015
37.8355,144.1939,34.98,4.5,2015
-15.0955,-173.5222,10.0,4.6,2015
44.2176,148.0842,73.03,4.7,2015
-7.5146,106.6987,49.87,4.7,2015
-34.1215,-72.2952,19.72,4.6,2015
-5.5536,149.2744,152.74,4.5,2015
-34.1325,-72.3193,20.2,4.6,2015
56.0733,113.7661,17.32,4.6,2015
-20.4065,-68.9524,106.97,4.8,2015
11.1566,125.9805,60.41,4.5,2015
-54.1857,-134.0343,10.0,5.1,2015
-1.1433,127.4431,50.68,4.8,2015
-54.5227,-132.7835,10.0,5.4,2015
24.3762,141.7121,143.76,4.5,2015
11.4818,126.1294,35.0,4.7,2015
64.5611,-17.773,9.46,5.1,2015
-7.1198,151.0408,25.64,4.5,2015
43.6917,144.8685,132.33,5.3,2015
-61.7039,161.1379,13.13,4.7,2015
64.6034,-17.4501,10.28,4.6,2015
-61.6118,161.3346,10.0,5.7,2015
-35.143,-179.2003,35.0,4.6,2015
51.438,-174.361,35.0,4.6,2015
-24.308,179.8642,533.66,4.5,2015
-17.8331,-178.5977,599.87,4.5,2015
-24.7707,179.9931,493.46,4.9,2015
51.924,178.317,128.199,4.5,2015
49.1709,-125.647,24.64,4.8,2015
-2.6211,140.0767,36.73,4.7,2015
-6.2276,152.6785,10.0,4.9,2015
46.4417,152.9862,51.08,4.9,2015
28.7322,51.8546,10.0,4.7,2015
-11.1384,164.7387,35.3,4.5,2015
-6.1895,146.6262,35.0,4.6,2015
-6.1161,146.691,52.71,5.1,2015
-6.0213,146.7246,40.32,4.6,2015
-5.8719,146.8527,35.0,4.5,2015
51.2126,179.1386,36.74,4.5,2015
-55.3078,-29.6317,10.0,4.8,2015
-6.1227,146.6315,54.92,4.9,2015
64.7119,-17.5784,8.71,4.6,2015
22.1943,142.9937,193.65,4.5,2015
-8.4736,159.0016,103.29,4.7,2015
-6.8541,72.2156,10.0,4.6,2015
5.3788,-82.5474,10.0,5.0,2015
5.9045,-82.6576,8.0,6.5,2015
24.26,121.7,22.0,5.1,2015
-36.3215,-103.6723,10.0,5.2,2015
55.2049,163.2446,10.0,5.6,2015
-3.5554,152.8558,226.45,4.8,2015
-6.5956,129.8286,168.48,4.6,2015
-6.2309,131.2133,122.22,4.5,2015
-30.1427,-177.9965,57.72,4.5,2015
-23.9351,-176.1641,35.0,4.9,2015
-29.3927,-112.2285,10.0,4.9,2015
-11.6546,166.7992,196.67,4.7,2015
-43.0462,171.246,9.6,4.5,2015
2.9764,124.3068,348.39,4.5,2015
-33.3346,-179.1662,33.09,4.8,2015
-56.7992,-150.4852,10.0,5.0,2015
-49.099,164.6792,31.25,5.3,2015
32.6654,93.0194,28.18,4.6,2015
-48.9709,124.0928,10.0,4.6,2015
64.637,-17.7023,7.07,5.0,2015
-21.4784,-179.1082,608.65,4.7,2015
30.6566,142.6154,34.96,4.5,2015
-3.4703,131.1897,34.71,4.5,2015
22.1451,144.1127,86.6,4.6,2015
-43.0546,171.2364,8.06,5.6,2015
30.534,141.9539,24.11,4.5,2015
30.5346,142.0331,26.96,5.0,2015
30.6064,142.1941,31.22,5.3,2015
28.658,51.8989,10.0,4.6,2015
28.6272,51.8921,10.0,4.7,2015
